0.475711,
0.192437,
0.124922,
0.209552,
0.383595,
0.591203,
0.787606,
0.941341,
1.03461,
1.06212,
1.02871,
0.946482,
0.831628,
0.701525,
0.572321,
0.45719,
0.365311,
0.301545,
0.266701,
0.258224,
0.271151,
0.299152,
0.335529,
0.374053,
0.409579,
0.438414,
0.458436,
0.469015,
0.470775,
0.465255,
0.454541,
0.440908,
0.426514,
0.413168,
0.402193,
0.394367,
0.389947,
0.388743,
0.390232,
0.393686,
0.398299,
0.403296,
0.40802,
0.411977,
0.414868,
0.416578,
0.417152,
0.416762,
0.415653,
0.414106,
0.412395,
0.410757,
0.409372,
0.408353,
0.407748,
0.407548,
0.407697,
0.408111,
0.408693,
0.409344,
0.409981,
0.410536,
0.410966,
0.411252,
0.411395,
0.411413,
0.411333,
0.411189,
0.411017,
0.410847,
0.410702,
0.410599,
0.410547,
0.410545,
0.410589,
0.410668,
0.410771,
0.410886,
0.411002,
0.41111,
0.411203,
0.41128,
0.411338,
0.41138,
0.411409,
0.411429,
0.411445,
0.411459,
0.411476,
0.411498,
0.411525,
0.411559,
0.411599,
0.411644,
0.411692,
0.411742,
0.411792,
0.411842,
0.41189,
0.411936,
0.41198,
0.412021,
0.412061,
0.4121,
0.412138,
0.412176,
0.412214,
0.412252,
0.412291,
0.412331,
0.37316,
0.620152,
1.02052,
1.46023,
1.85147,
2.13589,
2.28414,
2.29234,
2.17657,
1.96632,
1.69787,
1.40828,
1.13069,
0.891024,
0.706285,
0.584256,
0.524365,
0.519363,
0.557447,
0.624491,
0.706105,
0.78931,
0.863714,
0.922163,
0.96088,
0.979199,
0.978993,
0.963926,
0.938659,
0.908105,
0.876799,
0.848455,
0.825698,
0.809982,
0.801661,
0.800171,
0.804279,
0.812364,
0.82268,
0.833584,
0.8437,
0.852028,
0.857977,
0.861355,
0.862302,
0.861214,
0.858637,
0.855182,
0.851433,
0.84789,
0.844928,
0.84278,
0.841534,
0.84116,
0.841533,
0.842466,
0.843748,
0.845169,
0.846548,
0.847744,
0.848666,
0.849273,
0.849571,
0.849597,
0.849413,
0.849093,
0.848711,
0.848334,
0.848013,
0.847784,
0.847663,
0.847653,
0.847742,
0.847908,
0.848128,
0.848374,
0.848622,
0.848854,
0.849055,
0.849219,
0.849344,
0.849433,
0.849494,
0.849534,
0.849563,
0.849589,
0.849621,
0.849662,
0.849716,
0.849784,
0.849865,
0.849956,
0.850055,
0.850159,
0.850264,
0.850368,
